name,artist_1,artist_2,uri,year,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
All The Time (feat. Rameez) [Radio Version],DJane HouseKat,Rameez,spotify:track:6XcUVZGPkR1rPMkXQz5bBk,2012,0,False,171874,0.762,0.737,9,-3.904,1,0.167,0.038,0.0,0.063,0.76,130.016
Single Ladies - Remady 2K13 Radio Edit,Remady,Manu-L,spotify:track:6DCFfWMAUH6hfQiGQ44OPe,2013,28,False,221387,0.704,0.811,4,-3.011,0,0.0438,0.00743,0.0,0.27,0.795,128.002
Schönste Zeit,Bosse,,spotify:track:2toXFMUY2drm8KRillUHpA,2013,0,False,232320,0.673,0.831,8,-5.178,1,0.0347,0.123,0.0,0.209,0.534,121.0
Bangarang (feat. Sirah),Skrillex,Sirah,spotify:track:6VRhkROS2SZHGlp0pxndbJ,2011,70,True,215253,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026
Sky Is the Limit,DJ Antoine,Mad Mark,spotify:track:22W1OZtniQZgKQa3wnqZje,2013,46,False,277799,0.692,0.712,9,-5.716,0,0.0483,0.0251,0.0,0.0716,0.503,127.981
Strand,Yasha,,spotify:track:6npdnHdsDdRs9wZPMV8kaB,2013,7,False,211027,0.653,0.545,6,-8.274,1,0.0475,0.0846,0.000265,0.155,0.465,128.968
Clarity,Zedd,Foxes,spotify:track:0VGrgE7GbWaINRnh1bR4k9,2012,0,False,271427,0.523,0.78,8,-3.378,1,0.0748,0.0376,0.0,0.0751,0.187,128.003
C'Mon,Kesha,,spotify:track:4lAdOkj9Pj1952EYIKZmxg,2012,0,False,214333,0.558,0.781,1,-5.448,0,0.0963,0.00657,0.00144,0.102,0.286,126.025
Million Voices,Otto Knows,,spotify:track:3H2Fi9vc0vY61drCvFBa23,2013,37,False,355545,0.597,0.719,3,-7.272,1,0.0601,0.00504,0.153,0.0677,0.254,125.972
Ma chérie - DJ Antoine vs Mad Mark 2k12 Radio Edit,DJ Antoine,The Beat Shakers,spotify:track:0bLFr9Lg9cKIMQV9hvHg8m,2010,0,False,191080,0.777,0.587,5,-5.023,0,0.183,0.0316,7.12e-05,0.0416,0.857,127.966
One Life (feat. Kelly Rowland) - Radio Edit,Madcon,Kelly Rowland,spotify:track:2GL7gMtjLgbttGGCrUqeTd,2013,27,True,210320,0.472,0.879,1,-1.723,0,0.0505,0.0698,0.0,0.259,0.403,90.074
Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,Tinie Tempah,spotify:track:1oHxIPqJyvAYHy0PVrDU98,2012,61,False,240347,0.665,0.886,9,-4.175,0,0.0514,0.0469,6.24e-05,0.0525,0.53,128.062
"Watch Out For This (Bumaye) [feat. Busy Signal, The Flexican & FS Green]",Major Lazer,Busy Signal,spotify:track:0pDYeia7ZXB8kbCuSc5hKp,2013,0,True,269147,0.828,0.755,10,-4.116,0,0.156,0.0202,9.61e-06,0.0625,0.862,108.056
Halt dein Maul,Y-Titty,,spotify:track:05q207shONzq488RXdV0S1,2014,43,False,218093,0.558,0.8,9,-3.776,1,0.173,0.0104,0.0,0.234,0.812,150.068
Touch the Sky (feat. DJ Ammo),Sean Paul,DJ Ammo,spotify:track:16lMe3mw46b7QRqO4eIdCZ,2012,17,False,232533,0.793,0.913,5,-5.324,0,0.17,0.00783,0.0761,0.246,0.681,129.99
One Night In Ibiza - Radio Mix feat Patrick Miller,Mike Candys,Patrick Miller,spotify:track:3Z0KOu0VhHD9djitsBx1BR,2011,6,False,169355,0.711,0.916,2,-4.493,1,0.0638,0.012,9.79e-06,0.154,0.454,127.006
Not All About The Money (Radio Edit) [feat. Timbaland & Grooya],La La Land,Timati,spotify:track:50kj6mfIMyySqjssvapXn3,2012,18,False,190494,0.725,0.921,1,-5.498,0,0.0633,0.139,0.0,0.277,0.92,131.608
Brand New Day - Radio Mix,Mike Candys feat. Evelyn & Carlprit,,spotify:track:0BUI6QztiVlo6GK32zYW5K,2013,25,False,167143,0.646,0.892,6,-2.681,0,0.0695,0.0362,0.0,0.176,0.513,127.962
House Party - Radio Edit,DJ Antoine,Mad Mark,spotify:track:73htmdTpGdBPAhHdpEblRU,2014,25,False,206787,0.699,0.915,10,-3.382,0,0.0565,0.0704,0.0,0.169,0.775,127.968
V.I.P. (feat. The Product G&B),Kay One,The Product G&B,spotify:track:5iZVTYv8j4nyaNwlzf0T7H,2015,0,False,264284,0.888,0.667,0,-6.374,1,0.124,0.0569,0.0,0.119,0.745,110.042
Hey Hey Hey (Pop Another Bottle) (feat. Swift K.I.D & Dev),Laurent Wery,Swift K.I.D.,spotify:track:6ZqZKF6iyaVOFwjk5ILoyq,2012,41,False,185649,0.843,0.834,5,-5.427,0,0.119,0.0624,0.0,0.897,0.969,128.025
Living in Stereo - Video Edit,R.I.O.,,spotify:track:4cdibe2Gw6OipksnOAZyQF,2013,0,False,190485,0.697,0.869,0,-5.155,0,0.162,0.13,0.0,0.306,0.709,127.915
Rack City,Tyga,,spotify:track:21nFIDqoD1L7ELsprVSzOR,2012,60,True,203200,0.929,0.339,1,-10.881,1,0.371,0.0373,1.96e-05,0.187,0.273,98.986
Tacatà - Radio Edit,Tacabro,,spotify:track:62pIfDe2RdhUfYmRWdo9ZJ,2012,46,False,210000,0.812,0.857,4,-6.034,1,0.103,0.0083,0.0,0.354,0.651,126.951
The Riddle Anthem - Radio Edit,Jack Holiday,Mike Candys,spotify:track:1UjgPHpST8aSMvZrMWAH3r,2013,34,False,171533,0.653,0.789,6,-5.026,0,0.0312,0.0137,3.09e-05,0.374,0.593,127.013
Don't Stop the Dancing - Video Edit,Manian,Carlprit,spotify:track:0q1KvQDZEN2JmmmYWXOhtM,2013,0,False,184613,0.624,0.951,4,-4.374,1,0.181,0.0199,0.0,0.17,0.595,127.938
