danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
0.573,0.785,2,-5.362,0,0.0293,0.619,3.69e-05,0.278,0.688,108.003,spotify:track:37lYrZzmbRiEySPGkiGjXA,182600
0.596,0.733,9,-6.513,0,0.15,0.479,0.0,0.29,0.375,107.862,spotify:track:58erMXiJBLy1URLSXguVNw,203889
0.717,0.837,9,-5.641,1,0.0278,0.244,0.000145,0.067,0.468,120.142,spotify:track:2qUjP7g8WY3fzBCNTELwjy,317200
0.495,0.373,7,-12.132,1,0.0262,0.821,6.75e-05,0.0769,0.486,89.834,spotify:track:6ytBxmixhkR4PZ5wNS57dD,167657
0.575,0.692,8,-6.624,0,0.0571,0.0322,9.16e-06,0.112,0.277,125.192,spotify:track:67xHrhdRPmr0iwt9oX6RVk,283267
0.636,0.559,8,-10.313,1,0.0249,0.0562,0.000754,0.0562,0.512,101.4,spotify:track:7qm1JpihtROAIU1XpvqYHS,228867
0.718,0.934,4,-3.153,1,0.0379,0.00149,0.000131,0.324,0.239,119.989,spotify:track:4rex1k9pBVFaIVKBBssZzi,198021
0.321,0.955,10,-2.749,0,0.146,0.00464,0.00897,0.269,0.331,167.467,spotify:track:1vDMGBzqLJWZC5UzePDURw,189480
0.781,0.648,5,-8.216,1,0.0264,0.00761,0.0,0.132,0.546,121.93,spotify:track:2jItmTTkIL6SkvABXsTaYT,224773
0.606,0.942,2,-3.618,1,0.0357,0.000233,7.07e-06,0.106,0.373,110.98,spotify:track:1mX6SYJ1ZpcoxQUiER8wOI,270387
0.679,0.902,0,-8.395,1,0.119,0.015,0.00534,0.052,0.627,107.043,spotify:track:4ptZtGRf730xEEBtmmt1dh,165400
0.485,0.473,3,-9.545,1,0.0312,0.5,0.948,0.127,0.115,114.341,spotify:track:2XYKeBHVK3bN1eZmAz3xzL,231682
0.732,0.745,0,-8.111,1,0.0772,0.0218,4.35e-05,0.666,0.806,130.478,spotify:track:478MUVateeBsNeJlUAMU6V,214520
0.668,0.533,5,-11.124,0,0.0406,0.0142,1.07e-06,0.412,0.87,131.939,spotify:track:3tj2nDUnWlvmArKqzsdTDb,230547
0.657,0.487,5,-12.23,0,0.0304,0.0121,0.432,0.482,0.152,121.111,spotify:track:3fQWooU0XvlM8dx6ueryFf,310400
0.769,0.891,11,-7.56,1,0.0463,0.106,0.078,0.157,0.929,132.088,spotify:track:1jMVFrhcumqrnpwHFmKfdw,301587
0.746,0.345,1,-10.963,1,0.0875,0.183,0.00367,0.121,0.598,160.036,spotify:track:1xb5aS8n5nOlX5JHNXsPQE,326933
0.677,0.636,5,-12.043,0,0.403,0.00725,0.000329,0.266,0.697,77.931,spotify:track:0mbp865lIuiqKQRSD4tASg,209013
0.796,0.575,0,-12.234,1,0.0841,0.096,0.00102,0.183,0.939,160.747,spotify:track:6ScKOctGM2r8joAox3mzZc,181400
0.727,0.93,0,-6.633,1,0.0821,0.00357,0.574,0.423,0.343,120.773,spotify:track:6GSUzpXqFpzsvxUAGK4ALl,257253
0.746,0.928,8,-3.881,1,0.0433,0.0302,0.000244,0.104,0.827,125.507,spotify:track:0imYRG0WKxUOOcqBu3VX10,319480
0.225,0.615,0,-10.514,1,0.067,0.00384,0.0,0.169,0.117,151.661,spotify:track:4ZA3wwFbr5Thu8b1OvcKUB,276093
0.738,0.846,9,-5.416,1,0.103,0.115,0.0,0.0946,0.398,127.975,spotify:track:4WX7SQd1rvdZaFlnIUaSpj,166963
0.5,0.738,10,-5.949,0,0.0865,0.0167,0.0,0.108,0.773,75.135,spotify:track:5myq1sZmpLWsdTxhoQYkxA,179961
0.711,0.752,6,-5.745,0,0.071,0.00615,7.24e-06,0.0564,0.619,127.947,spotify:track:0TvPMd75ONLQC710CfVoXx,210000
0.609,0.743,0,-4.865,1,0.0586,0.119,1.36e-06,0.146,0.605,127.979,spotify:track:7FRUhOVXL4bUuz2lUWOqzi,174667
0.513,0.661,3,-6.8,1,0.0439,0.0274,0.0,0.118,0.461,180.118,spotify:track:1mr3616BzLdhXfJmLmRsO8,228347
0.481,0.699,1,-4.391,1,0.0284,0.0872,0.0,0.711,0.353,140.029,spotify:track:6ke2FFU7CpND0DEszSS0FJ,248347
0.394,0.944,2,-8.082,1,0.181,0.0906,0.0,0.473,0.616,207.686,spotify:track:5rDsAMjmB4Qa5WNciJPsfK,234133
0.351,0.928,1,-3.71,1,0.0759,0.00113,0.0,0.0988,0.239,148.03,spotify:track:0eGsygTp906u18L0Oimnem,222076
0.71,0.882,4,-2.932,0,0.0595,0.00777,0.00771,0.294,0.875,128.016,spotify:track:4wkQmYpAaMe41Rc3sYZ7Vz,232800
0.725,0.776,10,-5.302,0,0.0621,0.156,1e-06,0.298,0.589,128.041,spotify:track:5DYaIk0dpTgHizFAXmoQsx,200526
0.757,0.689,10,-4.664,1,0.0392,0.00383,1.94e-05,0.0851,0.742,122.017,spotify:track:3Q1cOcG3rxV2fYDb8gOa6W,200387
0.893,0.814,0,-5.209,1,0.352,0.167,0.00304,0.576,0.818,127.983,spotify:track:734dDgIkvlUZ0zqonFEYFi,185196
0.675,0.828,9,-5.576,1,0.0607,0.00529,1.15e-06,0.187,0.498,128.066,spotify:track:6jHRyyoakDTOGu0o3meS6B,195396
0.632,0.895,11,-5.276,0,0.0605,0.0416,0.0,0.0885,0.282,127.983,spotify:track:7cVXtwDpck4Kne4Ce8Ge6q,186892
0.531,0.88,2,-3.875,1,0.0406,0.0123,3.29e-06,0.176,0.266,127.993,spotify:track:6SLUwdeias7fn6qVq6LcgP,232027
0.562,0.783,11,-4.727,0,0.0428,0.135,1.44e-05,0.282,0.391,132.06,spotify:track:1xN7BpTAWnZkuSLOtRP6Qc,181787
0.561,0.844,0,-4.58,1,0.063,0.0945,0.0,0.22,0.446,110.968,spotify:track:3yRwgprKX3If2zcuGfKFBu,183240
0.726,0.797,9,-4.097,1,0.0272,0.128,0.0,0.154,0.624,117.969,spotify:track:79xJXZeudmfMq4ay9yCFGd,199987
0.578,0.934,8,-3.404,1,0.213,0.0896,0.0,0.174,0.46,128.987,spotify:track:5AVSf9b8Za80XgauqpkQGE,187126
0.578,0.969,2,-2.111,1,0.248,0.00477,1.27e-06,0.296,0.505,128.132,spotify:track:09cYKIujtzMrDrNTX4MxXW,187500
0.701,0.915,4,-3.887,0,0.128,0.171,0.0,0.394,0.698,127.101,spotify:track:0W0FFzJ1lhTxt0JLrsiULh,194453
0.644,0.87,0,-5.375,0,0.0493,0.00601,2.7e-05,0.11,0.669,127.998,spotify:track:79ANFdEcgbbfaOrDcE4iIS,201778
